subject,frame,kernel,shots,accuracy,gram_var
7,sensor,HS-overlap,100,0.5555555555555555,0.005295676516380406
7,sensor,HS-RBF,100,0.5333333333333333,0.005295676516380406
7,sensor,HS-overlap,1000,0.6518518518518518,0.005295676516380406
7,sensor,HS-RBF,1000,0.6666666666666665,0.005295676516380406
7,sensor,HS-overlap,10000,0.6888888888888889,0.005295676516380406
7,sensor,HS-RBF,10000,0.6222222222222222,0.005295676516380406
7,sensor,HS-overlap,100000,0.8074074074074075,0.005295676516380406
7,sensor,HS-RBF,100000,0.8074074074074075,0.005295676516380406
7,sensor,HS-overlap,1000000,0.837037037037037,0.005295676516380406
7,sensor,HS-RBF,1000000,0.8370370370370371,0.005295676516380406
7,sensor,HS-overlap,-1,0.8296296296296297,0.005295676516380406
7,sensor,HS-RBF,-1,0.8444444444444446,0.005295676516380406
7,reference,HS-overlap,100,0.4444444444444444,4.781738813081344e-05
7,reference,HS-RBF,100,0.5333333333333333,4.781738813081344e-05
7,reference,HS-overlap,1000,0.8296296296296296,4.781738813081344e-05
7,reference,HS-RBF,1000,0.8814814814814816,4.781738813081344e-05
7,reference,HS-overlap,10000,0.9407407407407409,4.781738813081344e-05
7,reference,HS-RBF,10000,0.9185185185185187,4.781738813081344e-05
7,reference,HS-overlap,100000,0.962962962962963,4.781738813081344e-05
7,reference,HS-RBF,100000,0.962962962962963,4.781738813081344e-05
7,reference,HS-overlap,1000000,0.9851851851851853,4.781738813081344e-05
7,reference,HS-RBF,1000000,0.9703703703703704,4.781738813081344e-05
7,reference,HS-overlap,-1,0.9703703703703704,4.781738813081344e-05
7,reference,HS-RBF,-1,0.962962962962963,4.781738813081344e-05
8,sensor,HS-overlap,100,0.4962962962962963,0.000743155970303999
8,sensor,HS-RBF,100,0.5185185185185184,0.000743155970303999
8,sensor,HS-overlap,1000,0.4740740740740741,0.000743155970303999
8,sensor,HS-RBF,1000,0.4740740740740741,0.000743155970303999
8,sensor,HS-overlap,10000,0.6148148148148149,0.000743155970303999
8,sensor,HS-RBF,10000,0.6666666666666666,0.000743155970303999
8,sensor,HS-overlap,100000,0.43703703703703706,0.000743155970303999
8,sensor,HS-RBF,100000,0.37037037037037035,0.000743155970303999
8,sensor,HS-overlap,1000000,0.5333333333333333,0.000743155970303999
8,sensor,HS-RBF,1000000,0.5111111111111111,0.000743155970303999
8,sensor,HS-overlap,-1,0.5407407407407407,0.000743155970303999
8,sensor,HS-RBF,-1,0.5777777777777778,0.000743155970303999
8,reference,HS-overlap,100,0.6,1.3846405366007631e-05
8,reference,HS-RBF,100,0.4592592592592592,1.3846405366007631e-05
8,reference,HS-overlap,1000,0.4296296296296296,1.3846405366007631e-05
8,reference,HS-RBF,1000,0.48148148148148157,1.3846405366007631e-05
8,reference,HS-overlap,10000,0.5407407407407407,1.3846405366007631e-05
8,reference,HS-RBF,10000,0.5259259259259259,1.3846405366007631e-05
8,reference,HS-overlap,100000,0.4222222222222222,1.3846405366007631e-05
8,reference,HS-RBF,100000,0.3259259259259259,1.3846405366007631e-05
8,reference,HS-overlap,1000000,0.4592592592592593,1.3846405366007631e-05
8,reference,HS-RBF,1000000,0.42962962962962964,1.3846405366007631e-05
8,reference,HS-overlap,-1,0.4666666666666667,1.3846405366007631e-05
8,reference,HS-RBF,-1,0.4074074074074074,1.3846405366007631e-05
9,sensor,HS-overlap,100,0.6148148148148148,0.0012610352493001656
9,sensor,HS-RBF,100,0.5703703703703703,0.0012610352493001656
9,sensor,HS-overlap,1000,0.49629629629629624,0.0012610352493001656
9,sensor,HS-RBF,1000,0.4962962962962963,0.0012610352493001656
9,sensor,HS-overlap,10000,0.5629629629629629,0.0012610352493001656
9,sensor,HS-RBF,10000,0.48148148148148145,0.0012610352493001656
9,sensor,HS-overlap,100000,0.5185185185185185,0.0012610352493001656
9,sensor,HS-RBF,100000,0.4666666666666666,0.0012610352493001656
9,sensor,HS-overlap,1000000,0.5333333333333333,0.0012610352493001656
9,sensor,HS-RBF,1000000,0.5333333333333333,0.0012610352493001656
9,sensor,HS-overlap,-1,0.5259259259259259,0.0012610352493001656
9,sensor,HS-RBF,-1,0.4666666666666666,0.0012610352493001656
9,reference,HS-overlap,100,0.5037037037037038,1.023500372919803e-05
9,reference,HS-RBF,100,0.4962962962962963,1.023500372919803e-05
9,reference,HS-overlap,1000,0.5407407407407407,1.023500372919803e-05
9,reference,HS-RBF,1000,0.5111111111111111,1.023500372919803e-05
9,reference,HS-overlap,10000,0.42222222222222217,1.023500372919803e-05
9,reference,HS-RBF,10000,0.4444444444444445,1.023500372919803e-05
9,reference,HS-overlap,100000,0.5407407407407407,1.023500372919803e-05
9,reference,HS-RBF,100000,0.5925925925925927,1.023500372919803e-05
9,reference,HS-overlap,1000000,0.5185185185185185,1.023500372919803e-05
9,reference,HS-RBF,1000000,0.5185185185185185,1.023500372919803e-05
9,reference,HS-overlap,-1,0.5259259259259259,1.023500372919803e-05
9,reference,HS-RBF,-1,0.548148148148148,1.023500372919803e-05
10,sensor,HS-overlap,100,0.49629629629629624,0.0016223478682854515
10,sensor,HS-RBF,100,0.4592592592592593,0.0016223478682854515
10,sensor,HS-overlap,1000,0.6296296296296298,0.0016223478682854515
10,sensor,HS-RBF,1000,0.6074074074074074,0.0016223478682854515
10,sensor,HS-overlap,10000,0.5555555555555555,0.0016223478682854515
10,sensor,HS-RBF,10000,0.5777777777777777,0.0016223478682854515
10,sensor,HS-overlap,100000,0.5333333333333333,0.0016223478682854515
10,sensor,HS-RBF,100000,0.637037037037037,0.0016223478682854515
10,sensor,HS-overlap,1000000,0.5333333333333333,0.0016223478682854515
10,sensor,HS-RBF,1000000,0.6,0.0016223478682854515
10,sensor,HS-overlap,-1,0.5333333333333333,0.0016223478682854515
10,sensor,HS-RBF,-1,0.7111111111111111,0.0016223478682854515
10,reference,HS-overlap,100,0.4888888888888888,5.215782107736402e-05
10,reference,HS-RBF,100,0.4814814814814815,5.215782107736402e-05
10,reference,HS-overlap,1000,0.5333333333333333,5.215782107736402e-05
10,reference,HS-RBF,1000,0.5111111111111111,5.215782107736402e-05
10,reference,HS-overlap,10000,0.6666666666666667,5.215782107736402e-05
10,reference,HS-RBF,10000,0.6222222222222222,5.215782107736402e-05
10,reference,HS-overlap,100000,0.6962962962962964,5.215782107736402e-05
10,reference,HS-RBF,100000,0.7111111111111111,5.215782107736402e-05
10,reference,HS-overlap,1000000,0.6148148148148149,5.215782107736402e-05
10,reference,HS-RBF,1000000,0.6148148148148149,5.215782107736402e-05
10,reference,HS-overlap,-1,0.7111111111111111,5.215782107736402e-05
10,reference,HS-RBF,-1,0.6888888888888889,5.215782107736402e-05
11,sensor,HS-overlap,100,0.42962962962962953,0.00028176315933398663
11,sensor,HS-RBF,100,0.4888888888888889,0.00028176315933398663
11,sensor,HS-overlap,1000,0.6518518518518519,0.00028176315933398663
11,sensor,HS-RBF,1000,0.5259259259259259,0.00028176315933398663
11,sensor,HS-overlap,10000,0.562962962962963,0.00028176315933398663
11,sensor,HS-RBF,10000,0.49629629629629635,0.00028176315933398663
11,sensor,HS-overlap,100000,0.6444444444444445,0.00028176315933398663
11,sensor,HS-RBF,100000,0.6222222222222222,0.00028176315933398663
11,sensor,HS-overlap,1000000,0.4814814814814815,0.00028176315933398663
