kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-RBF,64,6,0.4037794117643761,0.24597559748282832,0.06050399455703438,0.0061189267659727134,0.931857996386587,16.527834357405034,3
Bures-RBF,64,6,0.3957172559888593,0.2002761199475374,0.04011052422124039,0.032463281897629925,0.8832861600208876,24.931112704591715,3
HS-overlap,4,2,0.9896562581685907,0.012598902180334902,0.00015873233614964756,0.90756189433078,0.9999818008407277,6299.913579405984,4
Fidelity,4,2,0.9948283331496716,0.006434552284589524,4.140346310311627e-05,0.9520743380219242,0.9999914580311434,24152.569013598626,4
HS-RBF,4,2,0.4137875332554848,0.3305143804984826,0.10923975571629574,2.108873701454425e-08,0.9973290159507732,9.154176457489331,4
Bures-RBF,4,2,0.4153765076223912,0.3289729173371939,0.1082231803413442,3.109687739504658e-08,0.9969610120093263,9.240164601020995,4
HS-overlap,8,3,0.9886533040222296,0.01224288650891766,0.00014988827007023805,0.9152146089358179,0.9998179860120908,6671.636142917637,4
Fidelity,8,3,0.9942680074285777,0.006527855431210794,4.261289653078825e-05,0.9535672392496423,0.9999174316179416,23467.074088181023,4
HS-RBF,8,3,0.39798394945288446,0.30485605361178103,0.0929372134237491,4.3238100583213767e-07,0.9765716908513832,10.759952479320418,4
Bures-RBF,8,3,0.39451085803254726,0.29890930802574406,0.08934677442442915,7.967621113797121e-07,0.9756235854943687,11.19234585066991,4
HS-overlap,16,4,0.9886852383947661,0.010265046504755872,0.00010537117974480075,0.9313699241418922,0.9996402082016437,9490.261022244484,4
Fidelity,16,4,0.9937159347581699,0.006563870182161987,4.308439176827524e-05,0.9544912332048596,0.9998388296164407,23210.261511370343,4
HS-RBF,16,4,0.38785968108225743,0.285115371928016,0.0812907753096509,3.1280440871420626e-06,0.9614013873521614,12.301518790918449,4
Bures-RBF,16,4,0.3803264696187508,0.27471291574124845,0.07546718607505828,7.458526763316455e-06,0.9595103302243926,13.250792192058391,4
HS-overlap,32,5,0.9873815744442541,0.009409789716952544,8.854414251726584e-05,0.9429546885399204,0.9983713816819284,11293.801843583307,4
Fidelity,32,5,0.993110179714995,0.006366208649524654,4.052861256928251e-05,0.9589906431750845,0.9995069973871183,24673.9263104684,4
HS-RBF,32,5,0.37633964944722637,0.2663922131042277,0.07096481120256828,2.598291075726276e-05,0.928608231528521,14.091491022860765,4
Bures-RBF,32,5,0.367456198539112,0.24489961257978685,0.0599758202417297,0.00012846670757328153,0.8988762684188739,16.673385974039995,4
HS-overlap,64,6,0.9521031469286451,0.03658520733525905,0.0013384773957638926,0.7846112670655101,0.9925948796320979,747.1175853734029,4
Fidelity,64,6,0.9826055907813791,0.009796009011314456,9.596179254975404e-05,0.9378862715414914,0.9962621434753863,10420.814090999003,4
HS-RBF,64,6,0.3616673980164567,0.20556970639338318,0.04225890418666177,0.0017131709171517308,0.846439142542124,23.66365193907776,4
Bures-RBF,64,6,0.3625212420558001,0.16710520177520033,0.027924148460330412,0.014317677247240998,0.7774517276322207,35.81129793163145,4
HS-overlap,4,2,0.9676177301860533,0.03972455084208515,0.0015780399396054078,0.7852785012362022,0.9999866198799613,633.6975224150867,5
Fidelity,4,2,0.9825641925958823,0.02183475016405718,0.0004767563147267951,0.8800143264328694,0.9999936909571686,2097.5076136601347,5
HS-RBF,4,2,0.4250718011912561,0.36002957618154463,0.12962129572546266,5.672293865254049e-07,0.999281604685832,7.714781698510372,5
Bures-RBF,4,2,0.42905773670382685,0.35923761788573616,0.12905166610421817,8.679116727925758e-07,0.9992890778928293,7.748834479923961,5
HS-overlap,8,3,0.9711345317555584,0.032760280048251836,0.0010732359488398872,0.8093889605293301,0.9997337205618371,931.76155819319,5
Fidelity,8,3,0.9836994184248251,0.01922609529168413,0.00036964274016491866,0.892289999940673,0.999894485688982,2705.31486579134,5
HS-RBF,8,3,0.4010907821497859,0.33003178544398964,0.10892097940334762,1.4605049071103135e-06,0.9904957230564639,9.180967757339737,5
Bures-RBF,8,3,0.3996196995224036,0.3244246873182287,0.10525137774153047,2.0367439691948134e-06,0.9875957333454383,9.501063277819844,5
HS-overlap,16,4,0.9738406097589906,0.026851870039191275,0.000721022924601618,0.8362864902721864,0.9995639981908009,1386.9184541566738,5
Fidelity,16,4,0.9831743136238777,0.018687242523152552,0.0003492130331191209,0.8943831790639407,0.9998556890607447,2863.581553838764,5
HS-RBF,16,4,0.39083165402432657,0.3127220025549307,0.0977950508819661,3.678927179002428e-06,0.9895047726168652,10.225466329650482,5
Bures-RBF,16,4,0.3810731008701627,0.29912270002741614,0.08947438967169159,6.869419298752574e-06,0.9843206101688181,11.176382467310482,5
HS-overlap,32,5,0.9555175706865977,0.025828138538966858,0.000667092740388065,0.816879494504383,0.9917089198655572,1499.0419464290292,5
Fidelity,32,5,0.9736429278271234,0.016837386608533594,0.0002834975878052264,0.8899349225394315,0.9946566836479231,3527.36687370701,5
HS-RBF,32,5,0.34686914970401483,0.22755211459533628,0.05177996485680905,0.00011278884463708711,0.8403410304025786,19.312488966830582,5
Bures-RBF,32,5,0.3520829909325542,0.1745049938160993,0.03045199286675685,0.004613777813432493,0.7756414402272298,32.838573303741235,5
HS-overlap,64,6,0.9101601720714905,0.049417157466209685,0.0024420554520401634,0.6581332927575643,0.9774007031393891,409.4911109264825,5
Fidelity,64,6,0.9517936170339711,0.019528950111764427,0.00038137989246778386,0.8485534073815177,0.9792321397764424,2622.057480611599,5
HS-RBF,64,6,0.34671049671087967,0.18544716395709127,0.03439065061972829,0.0010340371892384424,0.7434159665316317,29.077670296424902,5
Bures-RBF,64,6,0.35246734221540044,0.1225089707739089,0.015008447920082464,0.02628182751249652,0.6176423469359167,66.62914148916909,5
HS-overlap,4,2,0.9544602107107995,0.050356107263323555,0.0025357375387153472,0.7294333525279226,0.9999842411284854,394.3625808003059,6
Fidelity,4,2,0.9739038058329519,0.030315065044572178,0.0009190031686566419,0.8273992625729237,0.999992637396328,1088.1355300023129,6
HS-RBF,4,2,0.4352625116149864,0.3639987386992806,0.13249508177466718,4.508286148414247e-06,0.9995699069385156,7.547449962713999,6
Bures-RBF,4,2,0.4335369371811456,0.3622624730965323,0.13123409941401581,3.955535506728695e-06,0.9994934416156339,7.619970758097037,6
HS-overlap,8,3,0.9568010535308068,0.04385187424275112,0.0019229868746020585,0.7667447657325142,0.9997633201478013,520.0243502478088,6
Fidelity,8,3,0.9714177900501232,0.03169992887333113,0.0010048854905742527,0.822493735864153,0.9999000896245113,995.1382614038333,6
HS-RBF,8,3,0.42768939514086424,0.35339957642948566,0.12489126062053987,1.4831741590089219e-05,0.9953648149263113,8.006965379573868,6
Bures-RBF,8,3,0.4230797754682632,0.34893392587746086,0.12175488462825736,1.4308024039145024e-05,0.9940314727294567,8.213222845664099,6
HS-overlap,16,4,0.9616935907233538,0.033238027621569355,0.0011047664801722074,0.8217146722765076,0.9991433671006595,905.1686650052264,6
Fidelity,16,4,0.9710726733719031,0.0289183065272944,0.000836268452406558,0.8382541242567415,0.9996833003246804,1195.7882628745185,6
HS-RBF,16,4,0.4248195415370204,0.33327282167045535,0.11107077366418712,9.581225866922364e-05,0.9875668892509232,9.003268519794537,6
Bures-RBF,16,4,0.4233796332092709,0.32095568010476194,0.1030125485915103,0.00022261719248068857,0.9843507536645848,9.707555183062563,6
