subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
4,0train->1test,reference,classical/TS+LR,classical,0.7083333333333334,0.7858796296296297,"{""clf__C"": 10.0}",144,144
4,0train->1test,reference,classical/MDM,classical,0.6805555555555556,0.7609953703703703,{},144,144
4,0train->1test,reference,control/riemann-kernel-SVM,control,0.7361111111111112,0.8402777777777779,"{""C"": 1.0}",144,144
4,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.7361111111111112,0.8402777777777779,"{""C"": 1.0}",144,144
4,0train->1test,reference,quantum/HS-overlap,quantum,0.7569444444444444,0.8290895061728395,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
4,0train->1test,reference,quantum/Fidelity,quantum,0.7430555555555556,0.8331404320987654,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
4,0train->1test,reference,quantum/HS-RBF,quantum,0.6944444444444444,0.7488425925925926,"{""C"": 10.0, ""gamma_mult"": 4.0}",144,144
4,0train->1test,reference,quantum/Bures-RBF,quantum,0.7222222222222222,0.7777777777777778,"{""C"": 1.0, ""gamma_mult"": 4.0}",144,144
4,0train->1test,reference,quantum/QRE-RBF,quantum,0.7222222222222222,0.7770061728395062,"{""C"": 1.0, ""gamma_mult"": 4.0}",144,144
4,1test->0train,reference,classical/TS+LR,classical,0.7638888888888888,0.8528163580246914,"{""clf__C"": 0.1}",144,144
4,1test->0train,reference,classical/MDM,classical,0.7083333333333334,0.7976466049382716,{},144,144
4,1test->0train,reference,control/riemann-kernel-SVM,control,0.7708333333333334,0.8474151234567902,"{""C"": 1.0}",144,144
4,1test->0train,reference,control/logeuclid-kernel-SVM,control,0.7708333333333334,0.8474151234567902,"{""C"": 1.0}",144,144
4,1test->0train,reference,quantum/HS-overlap,quantum,0.7430555555555556,0.8234953703703705,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
4,1test->0train,reference,quantum/Fidelity,quantum,0.7847222222222222,0.8503086419753088,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
4,1test->0train,reference,quantum/HS-RBF,quantum,0.7291666666666666,0.8288966049382717,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
