subject,frame,pipeline,group,accuracy,auc,best
31,sensor,quantum/Bures-RBF,quantum,0.7555555555555555,0.9209486166007905,"{""C"": 10.0, ""gamma_mult"": 0.25}"
31,sensor,quantum/QRE-RBF,quantum,0.7777777777777778,0.883399209486166,"{""C"": 10.0, ""gamma_mult"": 1.0}"
32,sensor,classical/TS+LR,classical,0.7333333333333333,0.9662698412698413,"{""clf__C"": 10.0}"
32,sensor,classical/MDM,classical,0.5333333333333333,0.9265873015873014,{}
32,sensor,control/riemann-kernel-SVM,control,0.7111111111111111,0.9642857142857144,"{""C"": 0.1}"
32,sensor,control/logeuclid-kernel-SVM,control,0.8,0.9444444444444444,"{""C"": 10.0}"
32,sensor,quantum/HS-overlap,quantum,0.6222222222222222,0.9027777777777778,"{""C"": 10.0, ""gamma_mult"": 1.0}"
32,sensor,quantum/Fidelity,quantum,0.6,0.9226190476190477,"{""C"": 10.0, ""gamma_mult"": 1.0}"
32,sensor,quantum/HS-RBF,quantum,0.6444444444444445,0.8571428571428572,"{""C"": 10.0, ""gamma_mult"": 1.0}"
32,sensor,quantum/Bures-RBF,quantum,0.5777777777777777,0.9285714285714286,"{""C"": 10.0, ""gamma_mult"": 0.25}"
32,sensor,quantum/QRE-RBF,quantum,0.6222222222222222,0.9305555555555556,"{""C"": 10.0, ""gamma_mult"": 0.25}"
33,sensor,classical/TS+LR,classical,0.8444444444444444,0.899209486166008,"{""clf__C"": 1.0}"
33,sensor,classical/MDM,classical,0.6888888888888889,0.8181818181818181,{}
33,sensor,control/riemann-kernel-SVM,control,0.8222222222222222,0.9011857707509882,"{""C"": 0.1}"
33,sensor,control/logeuclid-kernel-SVM,control,0.8222222222222222,0.8952569169960475,"{""C"": 10.0}"
33,sensor,quantum/HS-overlap,quantum,0.6888888888888889,0.883399209486166,"{""C"": 10.0, ""gamma_mult"": 1.0}"
33,sensor,quantum/Fidelity,quantum,0.6666666666666666,0.8675889328063242,"{""C"": 10.0, ""gamma_mult"": 1.0}"
33,sensor,quantum/HS-RBF,quantum,0.7333333333333333,0.865612648221344,"{""C"": 10.0, ""gamma_mult"": 0.25}"
33,sensor,quantum/Bures-RBF,quantum,0.7333333333333333,0.8596837944664032,"{""C"": 10.0, ""gamma_mult"": 0.25}"
33,sensor,quantum/QRE-RBF,quantum,0.7333333333333333,0.865612648221344,"{""C"": 10.0, ""gamma_mult"": 0.25}"
34,sensor,classical/TS+LR,classical,0.8888888888888888,0.9722222222222221,"{""clf__C"": 0.1}"
34,sensor,classical/MDM,classical,0.6222222222222222,0.9980158730158729,{}
34,sensor,control/riemann-kernel-SVM,control,0.8888888888888888,0.9761904761904762,"{""C"": 0.1}"
34,sensor,control/logeuclid-kernel-SVM,control,0.8222222222222222,0.9404761904761905,"{""C"": 1.0}"
34,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.8333333333333334,"{""C"": 10.0, ""gamma_mult"": 1.0}"
34,sensor,quantum/Fidelity,quantum,0.5777777777777777,0.7698412698412698,"{""C"": 10.0, ""gamma_mult"": 1.0}"
34,sensor,quantum/HS-RBF,quantum,0.6444444444444445,0.7797619047619048,"{""C"": 10.0, ""gamma_mult"": 0.25}"
34,sensor,quantum/Bures-RBF,quantum,0.6,0.7579365079365079,"{""C"": 10.0, ""gamma_mult"": 0.25}"
34,sensor,quantum/QRE-RBF,quantum,0.6444444444444445,0.7797619047619048,"{""C"": 10.0, ""gamma_mult"": 0.25}"
35,sensor,classical/TS+LR,classical,0.6888888888888889,0.7924901185770751,"{""clf__C"": 10.0}"
35,sensor,classical/MDM,classical,0.4888888888888889,0.7272727272727272,{}
35,sensor,control/riemann-kernel-SVM,control,0.7333333333333333,0.8201581027667985,"{""C"": 0.1}"
35,sensor,control/logeuclid-kernel-SVM,control,0.7555555555555555,0.8359683794466403,"{""C"": 0.1}"
35,sensor,quantum/HS-overlap,quantum,0.5333333333333333,0.6541501976284585,"{""C"": 10.0, ""gamma_mult"": 1.0}"
35,sensor,quantum/Fidelity,quantum,0.6,0.6245059288537549,"{""C"": 10.0, ""gamma_mult"": 1.0}"
35,sensor,quantum/HS-RBF,quantum,0.6666666666666666,0.6324110671936759,"{""C"": 10.0, ""gamma_mult"": 0.25}"
35,sensor,quantum/Bures-RBF,quantum,0.6444444444444445,0.6343873517786562,"{""C"": 10.0, ""gamma_mult"": 0.25}"
